Год,Место,Золото,Серебро,Бронза
1896,АФИНЫ,2,0,0
1900,ПАРИЖ,2,0,3
1904,СЕНТ ЛУИС,0,3,1
1920,АНТВЕРПЕН,0,2,1
1924,ПАРИЖ,3,1,2
1928,АМСТЕРДАМ,1,2,1
1932,ЛОС АНДЖЕЛЕС,3,1,1
1936,БЕРЛИН,0,0,1
1948,ЛОНДОН,2,6,5
1952,ХЕЛЬСИНКИ,6,2,3
1956,МЕЛЬБУРН,13,8,14
1960,РИМ,8,8,6
1964,ТОКИО,6,2,10
1968,МЕХИКО,5,7,5
1972,МЮНХЕН,8,7,2
1976,МОНРЕАЛЬ,0,1,4
1980,МОСКВА,2,2,5
1984,ЛОС АНДЖЕЛЕС,4,8,12
1988,СЕУЛ,3,6,5
1992,БАРСЕЛОНА,7,9,11
1996,АТЛАНТА,9,9,23
2000,СИДНЕЙ,16,25,17
2004,АФИНЫ,17,16,17
2008,ПЕКИН,14,15,17
2012,ЛОНДОН,8,15,12
2016,РИО-ДЕ-ЖАНЕЙРО,8,11,10
2020,ТОКИО,17,7,22