Год,Место,Золото,Серебро,Бронза,4 место,5 место,6 место,7 место,8 место
1900,ПАРИЖ,2,0,0,0,0,0,0,0
1904,СЕНТ ЛУИС,0,3,1,0,0,0,0,0
1920,АНТВЕРПЕН,0,1,1,1,2,0,1,0
1924,ПАРИЖ,1,1,2,0,0,0,1,0
1928,АМСТЕРДАМ,0,2,0,0,0,0,1,0
1932,ЛОС АНДЖЕЛЕС,1,1,0,1,1,1,1,1
1936,БЕРЛИН,0,0,0,0,0,0,1,0
1948,ЛОНДОН,0,2,2,1,0,0,0,0
1952,ХЕЛЬСИНКИ,1,0,0,0,0,1,0,1
1956,МЕЛЬБУРН,8,4,2,3,3,2,1,2
1960,РИМ,5,5,3,1,1,2,1,0
1964,ТОКИО,4,1,4,2,2,0,3,3
1968,МЕХИКО,3,2,3,6,1,3,2,1
1972,МЮНХЕН,6,2,2,3,3,0,4,3
1976,МОНРЕАЛЬ,0,0,1,2,2,2,1,4
1980,МОСКВА,2,0,5,1,4,2,4,3
1984,ЛОС АНДЖЕЛЕС,1,5,6,6,4,2,0,6
1988,СЕУЛ,1,1,1,4,2,6,1,3
1992,БАРСЕЛОНА,1,3,5,2,4,2,2,4
1996,АТЛАНТА,2,4,6,3,8,5,2,0
2000,СИДНЕЙ,5,9,4,4,0,2,4,4
2004,АФИНЫ,7,5,3,2,3,4,1,5
2008,ПЕКИН,6,6,8,2,3,5,4,1
2012,ЛОНДОН,1,6,3,3,3,2,5,5
2016,РИО-ДЕ-ЖАНЕЙРО,3,4,3,3,7,3,7,2
2020,ТОКИО,9,3,9,0,4,2,3,3